date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:04	37174/37174	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Aug%202017%2008:31:44%20GMT	https://esp32.vn/idf/sdcard.html	C:/My%20Web%20Sites/ESP32/esp32.vn/idf/sdcard.html	(from https://esp32.vn/)
13:15:05	20688/20688	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Aug%202017%2008:31:44%20GMT	https://esp32.vn/contributing.html	C:/My%20Web%20Sites/ESP32/esp32.vn/contributing.html	(from https://esp32.vn/)
13:15:06	1539/1539	---MCZ	200	added ('OK')	text/plain	etag:W/%22599a9a70-603%22	https://esp32.vn/_sources/index.rst.txt	C:/My%20Web%20Sites/ESP32/esp32.vn/_sources/index.rst.txt	(from https://esp32.vn/)
13:15:11	246831/246831	---M--	200	added ('OK')	image/png	etag:%22599a9a70-3c42f%22	https://esp32.vn/_images/Esp32-boad__1_.png	C:/My%20Web%20Sites/ESP32/esp32.vn/_images/Esp32-boad__1_.png	(from https://esp32.vn/)
13:15:15	507927/507927	---M--	200	added ('OK')	image/png	etag:%22599a9a70-7c017%22	https://esp32.vn/_images/sch.png	C:/My%20Web%20Sites/ESP32/esp32.vn/_images/sch.png	(from https://esp32.vn/)
13:15:15	86351/86351	---MCZ	200	added ('OK')	application/javascript	etag:W/%22599a9a70-1514f%22	https://esp32.vn/_static/jquery.js	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/jquery.js	(from https://esp32.vn/)
13:15:15	12140/12140	---MCZ	200	added ('OK')	application/javascript	etag:W/%22599a9a70-2f6c%22	https://esp32.vn/_static/underscore.js	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/underscore.js	(from https://esp32.vn/)
13:15:16	8166/8166	---MCZ	200	added ('OK')	application/javascript	etag:W/%22599a9a70-1fe6%22	https://esp32.vn/_static/doctools.js	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/doctools.js	(from https://esp32.vn/)
13:15:17	3479/3479	---MCZ	200	added ('OK')	application/javascript	etag:W/%22599a9a70-d97%22	https://esp32.vn/_static/translations.js	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/translations.js	(from https://esp32.vn/)
13:15:17	63048/63048	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd49df-f648%22	https://cdnjs.cloudflare.com/ajax/libs/mathjax/2.7.1/MathJax.js?config=TeX-AMS-MML_HTMLorMML	C:/My%20Web%20Sites/ESP32/cdnjs.cloudflare.com/ajax/libs/mathjax/2.7.1/MathJaxdda6.js	(from https://esp32.vn/)
13:15:18	6477/6477	---MCZ	200	added ('OK')	application/javascript	etag:W/%22599a9a70-194d%22	https://esp32.vn/_static/js/theme.js	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/js/theme.js	(from https://esp32.vn/)
13:15:19	76518/76518	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22599a9a70-12ae6%22	https://esp32.vn/_static/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/fonts/fontawesome-webfont3e6e.eot	(from https://esp32.vn/_static/css/theme.css)
13:15:20	76518/76518	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22599a9a70-12ae6%22	https://esp32.vn/_static/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/fonts/fontawesome-webfontd41d.eot	(from https://esp32.vn/_static/css/theme.css)
13:15:20	71896/71896	---M--	200	added ('OK')	font/woff2	etag:%22599a9a70-118d8%22	https://esp32.vn/_static/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/fonts/fontawesome-webfont3e6e.woff2	(from https://esp32.vn/_static/css/theme.css)
